Unnamed: 0;código tipo;Descrição tipo;código;Descrição código
;4;Ritos Menores;800;Funções nos diversos outros ritos
;4;Ritos Menores;801;Ofic. do Ritual de Eucaristia
;4;Ritos Menores;802;Ofic. do Rito de Eucaristia
;4;Ritos Menores;803;Acólito no Rito de Eucaristia
;4;Ritos Menores;804;Mestre de Cerimônia do Rito de Eucaristia
;4;Ritos Menores;805;Ofic. do Ritual de Comunhão Comunitária
;4;Ritos Menores;806;Ofic. do Rito de Comunhão Comunitária
;4;Ritos Menores;807;Acólito no Rito de Comunhão Comunitária
;4;Ritos Menores;810;Ofic. do Ritual de Batismo
 ;4;Ritos Menores;811;Ofic. do Rito de Batismo
;4;Ritos Menores;812;Acólito no Rito de Batismo
;4;Ritos Menores;815;Ofic. do Ritual de Benção
;4;Ritos Menores;816;Ofic. do Rito de Benção
;4;Ritos Menores;817;Acólito no Rito de Benção
;4;Ritos Menores;820;Ofic. do Ritual de Matrimônio
;4;Ritos Menores;821;Ofic. do Rito de Matrimônio
;4;Ritos Menores;822;Acólito no Rito de Matrimônio
;4;Ritos Menores;825;Ofic. do Ritual de Bodas
