Tipo;Nome;Descrição
Ritos Maiores;580;Sac. Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
Ritos Maiores;581;Sac. Ac. do Ofic. do Ritos da Ord. e Conf. de Poderes e da Revel. da 5ª Inic.
Ritos Maiores;590;Sac. Ofic. do Rito do Juramento da 5ª Inic.
Ritos Maiores;591;Sac. Ac. do Ofic. do Rito do Juramento da 5ª Inic.
Ritos Maiores;600;Funções nos ritos de Sagração Sacerdotal
Ritos Maiores;601;Sac. Ofic. do Ritual da Sagração Sacerdotal
Ritos Maiores;602;Sac. Ac. Imediato do Ofic. do Ritual da Sagr. Sacerdotal
Ritos Maiores;620;Sac. Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
Ritos Maiores;621;Sac. Ac. do Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
Ritos Maiores;630;Sac. Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
Ritos Maiores;631;Sac. Ac. do Ofic. do Rito de Com. e Oferenda das Vestes da Sagr. Sacerdotal
Ritos Maiores;640;Sac. Responsável por Grupo da Sagr. Sacerdotal
Ritos Maiores;641;Sac. Ac. do Responsável por Grupo da Sagr. Sacerdotal
Ritos Maiores;700;Funções nos ritos de Veneração
Ritos Maiores;701;Sac. Ofic. do Ritual da Veneração
Ritos Maiores;702;Sac. Ac. Imediato do Ofic. do Ritual da Veneração
Ritos Maiores;705;Sac. Mestre de Cerimônias da Veneração
Ritos Maiores;706;Sac. Ac. do Mestre de Cerimôrias da Veneração
Ritos Maiores;715;Sac. Guardião do Ritual da Veneração
Ritos Maiores;716;Sac. Ac. do Guardião do Ritual da Veneração
Ritos Maiores;720;Sac. Ofic. do Rito da Comunhão e Prece da Veneração
Ritos Maiores;721;Sac. Ac. do Ofic. do Rito da Comunhão e Prece da Veneração
Ritos Maiores;750;Funções nos ritos Especiais
Ritos Maiores;751;Sac. Ofic. do Ritual de Consagração do Santuário
Ritos Maiores;752;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Santuário
Ritos Maiores;753;Sac. Ac. no Ritual de Consagração do Santuário
Ritos Maiores;761;Sac. Ofic. do Ritual de Consagração do Templo Maior
Ritos Maiores;762;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Maior
Ritos Maiores;763;Sac. Ac. no Ritual de Consagração do Templo Maior
Ritos Maiores;771;Sac. Ofic. do Ritual de Consagração do Templo Menor
Ritos Maiores;772;Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Menor
Ritos Maiores;773;Sac. Ac. no Ritual de Consagração do Templo Menor
Ritos Menores;800;Funções nos diversos outros ritos
Ritos Menores;801;Ofic. do Ritual de Eucaristia
Ritos Menores;802;Ofic. do Rito de Eucaristia
Ritos Menores;803;Acólito no Rito de Eucaristia
Ritos Menores;804;Mestre de Cerimônia do Rito de Eucaristia
Ritos Menores;805;Ofic. do Ritual de Comunhão Comunitária
Ritos Menores;806;Ofic. do Rito de Comunhão Comunitária
Ritos Menores;807;Acólito no Rito de Comunhão Comunitária
Ritos Menores;810;Ofic. do Ritual de Batismo
Ritos Menores;811;Ofic. do Rito de Batismo
