nome,tipo,descricao
751,Ritos Maiores,Sac. Ofic. do Ritual de Consagração do Santuário
752,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Santuário
753,Ritos Maiores,Sac. Ac. no Ritual de Consagração do Santuário
761,Ritos Maiores,Sac. Ofic. do Ritual de Consagração do Templo Maior
762,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Maior
763,Ritos Maiores,Sac. Ac. no Ritual de Consagração do Templo Maior
771,Ritos Maiores,Sac. Ofic. do Ritual de Consagração do Templo Menor
772,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual de Consagração do Templo Menor
773,Ritos Maiores,Sac. Ac. no Ritual de Consagração do Templo Menor
800,Ritos Menores,Funções nos diversos outros ritos
801,Ritos Menores,Ofic. do Ritual de Eucaristia
802,Ritos Menores,Ofic. do Rito de Eucaristia
803,Ritos Menores,Acólito no Rito de Eucaristia
804,Ritos Menores,Mestre de Cerimônia do Rito de Eucaristia
805,Ritos Menores,Ofic. do Ritual de Comunhão Comunitária
806,Ritos Menores,Ofic. do Rito de Comunhão Comunitária
807,Ritos Menores,Acólito no Rito de Comunhão Comunitária
810,Ritos Menores,Ofic. do Ritual de Batismo
811,Ritos Menores,Ofic. do Rito de Batismo
812,Ritos Menores,Acólito no Rito de Batismo
815,Ritos Menores,Ofic. do Ritual de Benção
816,Ritos Menores,Ofic. do Rito de Benção
817,Ritos Menores,Acólito no Rito de Benção
820,Ritos Menores,Ofic. do Ritual de Matrimônio
821,Ritos Menores,Ofic. do Rito de Matrimônio
822,Ritos Menores,Acólito no Rito de Matrimônio
825,Ritos Menores,Ofic. do Ritual de Bodas
826,Ritos Menores,Ofic. do Rito de Bodas
827,Ritos Menores,Acólito no Rito de Bodas
830,Ritos Menores,Ofic. do Ritual de Exéquias
831,Ritos Menores,Ofic. do Rito de Exéquias
832,Ritos Menores,Acólito no Rito de Exéquias
833,Ritos Menores,Guardião no Rito de Exéquias
850,Ritos Menores,Ofic. do Ritual de Desmagnetização
851,Ritos Menores,Ofic. do Rito de Desmagnetização
852,Ritos Menores,Acólito no Rito de Desmagnetização
860,Ritos Menores,Ofic. no Ritual de Plenilúnio
861,Ritos Menores,Acólito no Ritual de Plenilúnio
862,Ritos Menores,Ofic. no Ritual de Plenilúnio de Pacientes
863,Ritos Menores,Acólito no Ritual de Plenilúnio de Pacientes
870,Ritos Menores,Ofic. do Rito de Purificação da Casa Templária
871,Ritos Menores,Mestre de Cerimônia do Rito de Purificação da Casa Templária
872,Ritos Menores,Guardião do Rito de Purificação da Casa Templária
873,Ritos Menores,Acólito portador do Fogareiro no Rito de Purificação da Casa Templária
874,Ritos Menores,Acólito portador da Tocha no Rito de Purificação da Casa Templária
875,Ritos Menores,Acólito portador da Água no Rito de Purificação da Casa Templária
876,Ritos Menores,Acólito portador de Círio no Rito de Purificação da Casa Templária
880,Ritos Menores,Ofic. do Rito do Dia Mundial da Grande Invocação
881,Ritos Menores,Acólito do Rito do Dia Mundial da Grande Invocação
882,Ritos Menores,Dirigente da Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
883,Ritos Menores,Acólito na Palestra T.Menor do Rito do Dia Mundial da Grande Invocação
890,Ritos Menores,Ofic. do Rito de Purificação das Vestes da Sagr. Sacerdotal
891,Ritos Menores,Acólito em Rito de Purificação das Vestes da Sagr. Sacerdotal
892,Ritos Menores,Ofic. do Rito de Comunhão e Oferenda das Vestes da Sagr. Sacerdotal
893,Ritos Menores,Acólito em Rito de Com. e Oferenda das Vestes da Sagr. Sacerdotal
895,Ritos Menores,Ofic. do Rito de Harmonização em Santuário
896,Ritos Menores,Acólito em Rito de Harmonização em Santuário
